corpus,titolo,sequenza,tipo,n_eventi,gamma,gamma_A1,gamma_A2,cv_tau
wikipedia,Industrial Revolution,vocali,vocali,24202,1.23046598457631,0.9664506529293453,0.9596526425039319,0.5251055691645731
wikipedia,Industrial Revolution,spazio,spazio,12367,1.2083491099372314,0.9559992898446895,0.9566291106106294,0.47820888107915044
wikipedia,Industrial Revolution,e,lettera,7402,1.1881648703458283,0.9544286410599824,0.9823369392084027,0.8740363293699633
wikipedia,Industrial Revolution,t,lettera,5483,1.0924704380782646,1.0066984005561583,1.003185307048654,0.8485859924470895
wikipedia,Industrial Revolution,n,lettera,5192,1.0510116938989404,1.0765512949125535,0.9445306573063639,0.8536683240829903
wikipedia,Industrial Revolution,a,lettera,5076,1.1032107950002923,1.002063380328286,1.0035952051827424,0.8602583677998625
wikipedia,Industrial Revolution,i,lettera,4977,1.0937009053896107,0.9862081351807258,0.9945471715564976,0.8980132841346358
wikipedia,Industrial Revolution,o,lettera,4810,1.189467880893515,1.0334791521862408,0.9775455462602635,0.939563208672207
wikipedia,Industrial Revolution,r,lettera,4258,1.2164702158409788,0.9894673661819521,1.0355559120291975,0.8296050536110159
wikipedia,Industrial Revolution,s,lettera,4024,1.166785097212042,0.9560838528609247,0.9720354633639167,0.8939655255547005
wikipedia,Industrial Revolution,d,lettera,2880,1.0013355255433687,0.9958883241261173,1.0067773408681733,0.8956657921246196
wikipedia,Industrial Revolution,l,lettera,2781,1.2110090283453727,1.0357695082294789,1.0321078705105695,0.9793030878758515
wikipedia,Industrial Revolution,h,lettera,2664,1.1889993311006706,1.0478057908556322,0.9947672992753288,0.9126374407544459
wikipedia,Industrial Revolution,c,lettera,2322,1.1915153262566454,1.037372708286812,1.0371404439563623,0.9794949399717403
wikipedia,Industrial Revolution,u,lettera,1937,1.0657697459089126,0.9643586154797278,1.0331824743051394,0.9728519132701754
wikipedia,Industrial Revolution,m,lettera,1624,1.1579981467023701,0.9545184784043655,0.9810425568602122,0.9755339899064163
wikipedia,Industrial Revolution,p,lettera,1445,1.0998654869002662,1.004703248770685,1.073046419402995,1.0370266006874376
wikipedia,Industrial Revolution,w,lettera,1381,1.284130944538305,0.9437571820911298,1.066878541220799,1.0444711559483955
wikipedia,Industrial Revolution,f,lettera,1361,1.0739038015709492,0.9698309303955863,1.0155930704737228,0.9640153617279307
wikipedia,Industrial Revolution,g,lettera,1249,1.084648982086359,1.0414053396180407,0.921271664860669,1.0002776682157233
wikipedia,Industrial Revolution,y,lettera,977,1.1186977087778769,1.0476496178150316,1.036419213950153,1.0033760810467234
wikipedia,Industrial Revolution,the,funzione,898,1.0003375623222102,0.9712817491245906,1.0201215680752906,0.9704789072600737
wikipedia,Industrial Revolution,and,funzione,494,1.149071482745435,1.0020698365820357,0.9725548290167533,0.9079061986318305
wikipedia,Industrial Revolution,in,funzione,444,1.069173265110462,0.9814067588329269,1.0320937781700839,0.9648600821603065
wikipedia,Industrial Revolution,of,funzione,442,1.0735130935089017,0.975196871062774,0.995301490231339,0.959986757706426
